MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368170010,2023-01-19T00:00:07,38.77812,-90.12779,2.1,190.3,202,MISS ANDREA,IMO1302674,WDL8494,52,Power-driven vessel pushing ahead/towing alongside,221,18,3,57,A
368014720,2023-01-19T00:00:01,29.74323,-93.86966,0.1,142.5,511,MISS CHARLOTTE,IMO1061878,WDJ8262,69,Undefined,36,8,0,69,A
367689970,2023-01-19T00:00:07,29.54962,-90.39715,0,300.7,511,CARIBOU,IMO9724283,WDI3596,90,Under way using its engine,56,,,70,A
366345000,2023-01-19T00:00:00,33.59475,-118.73203,9.7,198.4,198,THOMAS G THOMPSON,IMO8814419,KTDQ,90,Under way using its engine,83,16,5.6,90,A
368237350,2023-01-19T00:00:07,28.86195,-95.47909,3,64.3,67,MACK AMON,,WDM7798,31,Under way using its engine,26,10,2.9,31,A
538002221,2023-01-19T00:00:02,43.17876,-68.5965,12.1,52.5,51,GREAT EASTERN,IMO9298739,V7HF4,80,Under way using its engine,182,27,11.2,89,A
367716190,2023-01-19T00:00:00,41.90685,-80.79471,0,278.9,511,NEW YORK,,WDI6195,31,Under way using its engine,24,6,,31,A
367654950,2023-01-19T00:00:08,28.68123,-95.97708,5.3,63.3,511,BROWN WATER XIV,,WDH8127,31,Power-driven vessel pushing ahead/towing alongside,22,8,,31,A
367685470,2023-01-19T00:00:04,38.43846,-82.60164,4.6,169.8,511,CHRIS ARDEN,,WDI3151,31,Under way using its engine,16,,,31,A
368257130,2023-01-19T00:00:00,46.00985,-122.84833,0,298.8,511,TRIUMPH VII,,WDM9920,50,Under way using its engine,15,4,2.1,50,A
368117510,2023-01-19T00:00:00,25.76442,-80.14557,0,360,511,PELICAN II,,WDL3008,60,Under way using its engine,30,33,0,60,A
367703000,2023-01-19T00:00:00,27.24563,-79.72132,17.3,0.7,1,OVERSEAS LONG BEACH,IMO9353527,WAAT,80,Under way using its engine,183,32,12.2,80,A
366972040,2023-01-19T00:00:01,30.06152,-93.35402,0,294.8,511,JAIME DEVALL,,WTC3233,31,Under way using its engine,15,6,,31,A
368073550,2023-01-19T00:00:02,29.81677,-90.00587,0,272.7,511,MISS REAGAN,,WDK6335,60,Under way using its engine,15,5,1,60,A
367511340,2023-01-19T00:00:02,27.84612,-97.22552,0,279.4,229,SIGNET WEATHERLY,IMO9581124,WDG2023,31,Under way using its engine,30,11,4.4,31,A
316040257,2023-01-19T00:00:04,27.34259,-95.76899,10.1,92.8,94,HINCH SPIRIT,IMO9508940,VAHS,89,Under way using its engine,137,20,8.8,89,A
366836590,2023-01-19T00:00:04,40.64138,-74.16406,1.8,210.5,511,ELLEN MCALLISTER,IMO8980892,WDG3673,31,Undefined,33,9,4.3,52,A
367187140,2023-01-19T00:00:05,29.7049,-91.52286,0.1,240.2,511,MEGAN B SETTOON,,WDD7489,31,Under way sailing,15,6,,0,A
367512920,2023-01-19T00:00:01,29.68105,-89.96745,0,250.2,332,SANDPIPER,,WDG2173,31,Power-driven vessel pushing ahead/towing alongside,23,,,57,A
367180890,2023-01-19T00:00:07,30.03154,-85.47677,0,295.2,511,MISS KELLYE JO,IMO0628358,WCX5653,31,Under way using its engine,26,9,0,31,A
366862710,2023-01-19T00:00:00,38.99616,-90.57283,0.1,163.5,335,WALTER E BLESSEY JR,IMO8976619,WDA9212,31,Power-driven vessel pushing ahead/towing alongside,32,9,,57,A
367590460,2023-01-19T00:00:00,30.34284,-81.62249,1.9,207.9,335,SUN TRADER,,WDG9703,31,Under way using its engine,17,,,52,A
366953850,2023-01-19T00:00:02,30.04923,-90.53862,0,0,511,DENNIS C BOTTORFF,,WDB8149,31,Power-driven vessel pushing ahead/towing alongside,46,15,,52,A
367396140,2023-01-19T00:00:01,29.72761,-95.22463,0,350,358,WINDY CITY,,WDE7671,31,Power-driven vessel pushing ahead/towing alongside,18,7,,57,A
367314530,2023-01-19T00:00:02,36.72349,-76.12716,3.1,88.9,85,ALEXANDER DUFF,,WDD9658,31,Under way using its engine,18,7,,52,A
235076276,2023-01-19T00:00:02,29.76606,-93.91832,8,112.4,111,PARAMOUNT HATTERAS,IMO9453975,2CWB5,80,Under way using its engine,249,44,14.8,80,A
367424310,2023-01-19T00:00:02,37.00641,-88.24944,0,40.7,96,JOHNNY M,,WDF2053,31,Under way using its engine,26,9,,90,A
368163520,2023-01-19T00:00:02,30.12677,-90.91684,0,66.6,333,WALLER,,WDL7792,57,Power-driven vessel pushing ahead/towing alongside,219,18,2.9,57,A
367130910,2023-01-19T00:00:04,41.63335,-70.90637,0,69.1,262,ISLAND HOME,IMO9410478,WDD3413,60,Under way using its engine,77,19,3.3,60,A
367500810,2023-01-19T00:00:02,29.15795,-89.247,0,227.4,302,CAPT FRANK,,WDF9003,90,Power-driven vessel pushing ahead/towing alongside,56,14,,33,A
367339650,2023-01-19T00:00:04,32.59327,-117.26729,0.7,135.1,284,TIGERS,IMO9415442,WDE3479,90,Under way using its engine,55,10,3.8,38,A
367587190,2023-01-19T00:00:07,29.27767,-94.97811,5.9,222.1,511,BROWN WATER XI,,WDG9382,31,Under way using its engine,16,7,,31,A
367327970,2023-01-19T00:00:00,35.08707,-90.08898,0,303.2,215,THOMAS GOLDING,,WDE2661,31,Under way using its engine,33,9,,52,A
367010390,2023-01-19T00:00:00,40.64201,-74.15043,7.3,122.4,119,MEDITERRANEAN SEA,IMO8991047,WDG2229,31,Under way using its engine,33,11,,33,A
368000510,2023-01-19T00:00:00,30.1053,-93.31034,0,300.3,55,ELIZABETH PRINCE,,WDJ6817,31,Power-driven vessel pushing ahead/towing alongside,,,,52,A
367470580,2023-01-19T00:00:02,30.68415,-88.03734,0,261.8,2,SAN BROOKLYN,,WDF6095,31,Power-driven vessel pushing ahead/towing alongside,21,9,,57,A
367797450,2023-01-19T00:00:01,40.59866,-80.64682,0,263.2,42,JEFFREY A RAIKE,,WDJ6407,31,Power-driven vessel pushing ahead/towing alongside,36,10,,52,A
369970481,2023-01-19T00:00:02,38.98397,-76.4674,0,338.3,349,YP-707,,NFEE,90,Under way using its engine,,,,99,A
311923000,2023-01-19T00:00:02,27.82146,-97.43009,1.9,297.1,192,APOLLON,IMO9289532,C6UI4,80,Under way using its engine,186,32,13,80,A
368247290,2023-01-19T00:00:02,29.89296,-91.21043,4.5,175.7,511,DEBBIE L OWEN,,WDM8876,57,Under way using its engine,207,22,3,57,A
367374990,2023-01-19T00:00:02,30.00639,-89.93447,6.4,76.1,511,ALTRO DONNA,,WDF2942,31,Under way using its engine,17,7,,39,A
367614020,2023-01-19T00:00:03,43.37227,-124.21041,0,187.8,511,COOS BAY,,WDH4085,31,Under way using its engine,21,7,,31,A
366384000,2023-01-19T00:00:04,38.95856,-74.87598,0,243.4,511,ALLIANCE,,WDF7948,30,Under way using its engine,34,10,4,30,A
367522240,2023-01-19T00:00:02,37.9244,-86.75935,0,154.8,133,MARK DULEY,,WDG3076,31,Under way using its engine,48,12,,52,A
367138710,2023-01-19T00:00:06,30.28327,-91.22262,0,297.8,511,ASCENSION,IMO7530080,WDD3969,60,Under way using its engine,47,18,,69,A
365973420,2023-01-19T00:00:04,29.21007,-95.19853,5.5,287.6,511,CHARLES ALFRED,,WYU9726,31,Power-driven vessel pushing ahead/towing alongside,16,6,0,31,A
366816340,2023-01-19T00:00:05,33.91672,-78.02335,0,290.7,511,CAPE FEAR PILOT II,,WDA5087,90,Under way using its engine,15,5,,50,A
366757740,2023-01-19T00:00:00,37.92174,-122.36742,0,342.8,5,PETER M,IMO8964549,WCY7481,31,Under way using its engine,27,9,3.2,52,A
215804000,2023-01-19T00:00:05,40.56409,-70.58196,16,260,262,ATLANTIC SKY,IMO9670602,9HA5293,70,Under way using its engine,296,37,9.7,70,A
368113370,2023-01-19T00:00:03,37.9249,-87.8771,0,331.7,302,OUIZEE,,WDL2577,31,Power-driven vessel pushing ahead/towing alongside,26,10,3.4,31,A
367059330,2023-01-19T00:00:04,32.48862,-87.94679,3.9,25.6,511,REDEEMER,,WDC6664,31,Power-driven vessel pushing ahead/towing alongside,22,10,,57,A
368177590,2023-01-19T00:00:04,29.95076,-90.38619,0,239.3,124,ADDISON FAITH,,WDL9274,57,Under way using its engine,119,34,3.3,52,A
367448070,2023-01-19T00:00:05,40.57386,-74.02013,22.2,319.8,511,YANKEE,,WDF4108,90,Under way using its engine,17,5,,50,A
368263020,2023-01-19T00:00:06,27.81513,-97.42055,0,360,265,LOU GOLDING,,WDN2530,57,Power-driven vessel pushing ahead/towing alongside,117,34,2.9,52,A
367476930,2023-01-19T00:00:07,41.42314,-88.19286,0,22.6,511,CHANNAHON,,WDF6696,31,Under way using its engine,15,6,,52,A
367741120,2023-01-19T00:00:00,47.2702,-122.41837,0,9.5,312,A J,IMO8890310,WDI8684,31,Under way using its engine,29,9,,32,A
367615770,2023-01-19T00:00:03,28.45323,-96.77828,4.8,303.7,303,KATHY AZLIN,,WDH4252,31,Power-driven vessel pushing ahead/towing alongside,32,,,57,A
367385950,2023-01-19T00:00:00,39.37646,-81.29054,0,360,255,MISTER CHARLIE NEALE,,WCY7953,31,Under way using its engine,19,7,,57,A
366878290,2023-01-19T00:00:01,36.85247,-76.31004,0,3.2,511,RAM XV,IMO8767305,WDB2653,90,Undefined,33,19,2.1,95,A
368210940,2023-01-19T00:00:00,40.69906,-74.04132,0,344.9,314,ANNIE MOORE,,WDM4917,60,Undefined,23,7,0,60,A
367767410,2023-01-19T00:00:03,46.00867,-122.84901,0.1,174.6,511,MULE,,WDJ3372,60,Moored (tied to another object to limit free movement),,,,50,A
367705090,2023-01-19T00:00:01,29.36382,-94.89195,0,294.6,340,CALLIE M ETHEREDGE,,WDI5093,31,Power-driven vessel pushing ahead/towing alongside,25,,,57,A
368042990,2023-01-19T00:00:03,28.88814,-89.42652,22,177.7,511,P/V ASSISTANT,,WDK3212,50,Undefined,16,5,0,50,A
367556670,2023-01-19T00:00:00,30.72532,-91.35683,0,249.8,340,KENNY BILLIOT,,WDG6408,31,Power-driven vessel pushing ahead/towing alongside,19,,,52,A
338109758,2023-01-19T00:00:04,32.9062,-79.94698,0,270.6,43,CHEROKEE,,,90,Anchored,47,10,,33,A
367661820,2023-01-19T00:00:06,30.02087,-93.98058,0.1,339.9,150,MISTER MAC,,WDH8821,31,Power-driven vessel pushing ahead/towing alongside,22,,,57,A
367388680,2023-01-19T00:00:01,29.78501,-95.06743,0,34.1,132,MORGAN CITY,,WDE7077,31,Under way using its engine,23,10,,52,A
367590270,2023-01-19T00:00:01,29.76388,-95.07001,0,177.5,511,DIANE CENAC,,WDG9684,31,Power-driven vessel pushing ahead/towing alongside,21,,,57,A
366921780,2023-01-19T00:00:05,29.3772,-94.89321,0,227.2,511,JUPITER,IMO8835138,WAK3719,31,Under way using its engine,26,10,4.9,52,A
369113000,2023-01-19T00:00:02,27.63254,-80.11218,9.6,170.5,169,BARBARA CAROL ANN MO,IMO9789764,WDI6298,57,Power-driven vessel pushing ahead/towing alongside,188,24,6.5,57,A
367666910,2023-01-19T00:00:06,29.14366,-90.20485,0.1,172.6,252,CAJUN IV,IMO9732761,WDH9327,60,Under way using its engine,64,9,2,60,A
366967450,2023-01-19T00:00:03,38.75578,-90.14212,0,169.6,208,DANIEL T MARTIN,,WDB8982,31,Power-driven vessel pushing ahead/towing alongside,39,13,,57,A
367579230,2023-01-19T00:00:04,29.83128,-93.96328,0.1,146.4,511,TERRY CONNER,,WDG8602,31,Undefined,17,5,,57,A
367701380,2023-01-19T00:00:03,32.48536,-91.11633,3.6,334,353,ST PHILLIP,,WDI4731,31,Power-driven vessel pushing ahead/towing alongside,23,,,57,A
367762750,2023-01-19T00:00:04,30.37022,-88.5642,0,5.6,1,GLADYS B,IMO9819349,WDJ2896,31,Undefined,,,,52,A
367567010,2023-01-19T00:00:03,47.6012,-122.47352,7,352.3,351,WILLIAM TYNDALE,,WDG7411,31,Power-driven vessel pushing ahead/towing alongside,15,,,52,A
367712150,2023-01-19T00:00:03,34.67915,-92.15297,0,286,16,DREDGE DAVID H,,WDI5790,33,Undefined,61,,,33,A
368059390,2023-01-19T00:00:04,37.93932,-87.45194,0,245.2,59,WILLIAM JEFFREY BAYE,,WDK4868,31,Under way using its engine,31,9,2.2,31,A
366984270,2023-01-19T00:00:05,37.89017,-87.29236,5.6,309,308,COOP MARINER,,WDB9872,31,Power-driven vessel pushing ahead/towing alongside,47,12,,57,A
367479650,2023-01-19T00:00:00,30.52029,-91.20859,4.7,265.2,264,SAINT CRISPIN,IMO8992924,WDF6960,31,Power-driven vessel pushing ahead/towing alongside,19,7,,52,A
367615680,2023-01-19T00:00:06,29.72566,-95.21147,0,283.2,55,SAVAGE LEGACY,,WDH4244,31,Power-driven vessel pushing ahead/towing alongside,22,,,57,A
366986850,2023-01-19T00:00:05,41.32036,-88.87985,102.3,360,172,BECKY ANN,,WDC2039,31,Moored (tied to another object to limit free movement),18,7,,31,A
366904380,2023-01-19T00:00:07,30.15012,-88.06666,6.2,243.6,244,COLONEL,IMO7717688,WDB4973,31,Under way using its engine,35,9,4.3,31,A
367528420,2023-01-19T00:00:04,29.77623,-94.0342,5.7,54.3,55,MISS ALLIE,,WDG3664,31,Power-driven vessel pushing ahead/towing alongside,29,10,,57,A
367702470,2023-01-19T00:00:00,29.99557,-90.80398,0,276,275,SAFETY LEGEND,,WDI4831,31,Under way using its engine,21,8,,31,A
367539060,2023-01-19T00:00:04,29.93674,-90.3304,0,252.1,261,SUSAN ELIZABETH,,WDG4681,31,Power-driven vessel pushing ahead/towing alongside,23,9,,57,A
316011504,2023-01-19T00:00:05,49.14276,-123.51921,10.8,107.2,108,SEASPAN PUSHER,IMO8744688,CFG582,31,Under way sailing,30,8,5.1,90,A
367612490,2023-01-19T00:00:06,29.14124,-90.213,0,36.5,343,HOS CALEDONIA,IMO9647629,WDH3937,90,Under way using its engine,97,19,6,70,A
367624350,2023-01-19T00:00:01,29.12888,-90.21747,0,360,511,STINGRAY,IMO7942764,WDH5083,90,Undefined,21,12,,70,A
368926038,2023-01-19T00:00:07,41.50478,-88.10175,102.3,360,233,CHANNAHON,,AEOG,52,Undefined,,,,52,A
538001859,2023-01-19T00:00:03,17.87185,-67.46447,11.7,278.3,277,MAESTRO SEA,IMO8401145,V7ET4,70,Under way using its engine,160,22,6.7,70,A
367408930,2023-01-19T00:00:05,33.90915,-118.44764,0.3,332,83,LUCY FOSS,,WDE8734,90,Under way using its engine,18,7,,53,A
366935050,2023-01-19T00:00:07,29.77148,-95.10205,0,4,273,MISS PEGGY,,WDH7675,31,Under way using its engine,15,6,,57,A
367352630,2023-01-19T00:00:04,30.41736,-91.20409,2,20.6,511,JESSICA RYAN,,WDE4399,31,Under way using its engine,18,7,,31,A
338495000,2023-01-19T00:00:05,40.20656,-73.93531,8.7,190.1,188,GENESIS VALIANT,IMO8973899,WDG9348,31,Power-driven vessel towing astern,30,10,5,52,A
338224334,2023-01-19T00:00:00,27.83806,-97.05228,0,208.8,511,,,,0,Undefined,0,0,0,0,A
368053750,2023-01-19T00:00:03,30.29142,-91.22382,0.1,277.5,298,SAM L.HAYS,,WDK4295,52,Under way using its engine,15,8,2.9,52,A
366995670,2023-01-19T00:00:05,28.95041,-95.33395,0,92.7,93,PACESETTER,,WDC2620,31,Power-driven vessel pushing ahead/towing alongside,15,6,,52,A
367127830,2023-01-19T00:00:04,37.55412,-76.25285,8.4,344.8,511,NIKKI JO C,,WBA5546,31,Under way using its engine,17,7,,52,A
368036250,2023-01-19T00:00:04,39.68465,-79.94594,0,360,511,CONNER H,,WDC2703,98,Under way using its engine,16,6,3,98,A
367075220,2023-01-19T00:00:04,28.95072,-95.3339,0,49.5,511,CAPT AJ,,WDC7689,31,Power-driven vessel pushing ahead/towing alongside,17,6,,57,A
366929330,2023-01-19T00:00:00,34.24,-77.95238,0.1,232.1,338,CAPE HATTERAS,IMO8023541,WRZ8934,90,Moored (tied to another object to limit free movement),41,9,2.8,90,A
246293000,2023-01-19T00:00:04,31.31995,-78.64336,15.1,78.5,84,SAIMAAGRACHT,IMO9288069,PHCQ,70,Under way using its engine,185,25,10.6,70,A
367655770,2023-01-19T00:00:04,27.7475,-82.72218,0,179.6,48,DEBBIE LOU,,WDH8211,37,Under way using its engine,28,,,37,A
538006823,2023-01-19T00:00:07,48.24363,-125.29825,11,213.4,213,TS ECHO,IMO9719367,V7RS5,70,Under way using its engine,182,,,70,A
339291000,2023-01-19T00:00:01,25.78612,-80.17924,0.3,360,511,SAMO,IMO0000000,6YVO8,37,,33,13,,,B
368256670,2023-01-19T00:00:01,35.76469,-75.52757,1.9,347.5,344,MISS KATIE,,WDM9870,33,Under way using its engine,17,9,2.5,33,A
367100370,2023-01-19T00:00:09,38.78276,-75.12032,0.2,236.1,511,LEWES,,WDC9301,50,Undefined,16,5,,50,A
368160970,2023-01-19T00:00:01,30.06643,-90.90104,0,306.8,511,GRAIN EXPRESS,,WDL7521,31,Under way using its engine,30,10,3,31,A
338703000,2023-01-19T00:00:00,39.83976,-75.35561,5,238.4,236,GENESIS VICTORY,IMO8973942,WDG9351,31,Under way using its engine,30,10,5,57,A
367745570,2023-01-19T00:00:02,29.13262,-95.17331,5.2,223.9,221,QUINCEY CENAC,,WDI9133,31,Power-driven vessel pushing ahead/towing alongside,,,,57,A
367574720,2023-01-19T00:00:00,27.85245,-97.17389,0,360,511,K J LEBOEUF,,WDG8170,31,Under way using its engine,18,6,,99,A
368072240,2023-01-19T00:00:00,47.54318,-122.63561,0,347.9,257,WATERMAN,,WDK6206,60,Under way using its engine,21,8,1.5,60,A
338376229,2023-01-19T00:00:00,35.72257,-75.13088,16.9,283.7,511,ALLISON,,,37,Undefined,11,4,0,37,A
351356000,2023-01-19T00:00:01,32.12557,-81.13618,0,213.9,336,MSC SARISKA V,IMO8715857,3FIF9,70,Under way using its engine,294,32,10.6,70,A
367672770,2023-01-19T00:00:01,38.23059,-85.84003,0.3,342.7,511,WAYNE MCBRIDE,,WDH9907,31,Power-driven vessel pushing ahead/towing alongside,17,,,31,A
367098670,2023-01-19T00:00:01,29.70172,-95.00581,6.5,282.8,511,CAPT HYMEN DEVALL,IMO8851132,WDC9187,31,Power-driven vessel pushing ahead/towing alongside,17,7,,31,A
367671170,2023-01-19T00:00:05,34.22691,-77.95322,0,302.8,511,G M MCALLISTER,IMO8218902,WDH9744,31,Undefined,32,10,,52,A
367000450,2023-01-19T00:00:04,29.47007,-94.96165,0,360,511,WILLIAM D,,WDG2968,99,Undefined,29,10,0,99,A
367083650,2023-01-19T00:00:01,47.63256,-122.38381,0,359.7,511,HARVESTOR,IMO8034875,WDC8229,30,Undefined,34,7,,30,A
366999532,2023-01-19T00:00:04,38.3284,-75.09108,0.1,360,511,CG47221,,,90,Undefined,14,,,51,A
316001101,2023-01-19T00:00:06,42.86518,-79.57322,0,219.3,51,LEONARD M,IMO8519215,VOJM,31,Power-driven vessel pushing ahead/towing alongside,33,11,4.1,90,A
36926403,2023-01-19T00:00:03,45.10009,-87.61647,0,38.4,511,PCU MARINETTE,,NMNE,35,Has restricted maneuverability,0,0,0,35,A
368090780,2023-01-19T00:00:03,36.9637,-76.40964,0,310.2,511,LYMAN JACKSON,,WDK8092,30,Under way using its engine,22,8,4,30,A
367389840,2023-01-19T00:00:09,37.92328,-122.36704,0,245.3,511,EINAR,,WDE7163,70,Undefined,,,,90,A
563048700,2023-01-19T00:00:05,29.63775,-94.96483,11.2,342,343,MTM AMSTERDAM,IMO9776444,9V5426,80,Under way using its engine,146,25,6.3,80,A
366989480,2023-01-19T00:00:02,30.45819,-91.19229,0,309.8,511,SONNY COOK,,WBD5978,31,Power-driven vessel pushing ahead/towing alongside,18,7,,57,A
366995450,2023-01-19T00:00:05,30.38039,-91.23441,0,265.8,36,DELOS CASE,,WDC2600,31,Under way using its engine,19,7,,52,A
368059490,2023-01-19T00:00:02,28.68134,-95.97756,3.9,243.9,242,BAILEY,,WDK4879,57,Power-driven vessel pushing ahead/towing alongside,210,17,2.9,57,A
367640610,2023-01-19T00:00:05,27.81191,-97.39964,0,238.6,88,BEN STRAFUSS,,WDH6685,31,Power-driven vessel pushing ahead/towing alongside,22,,,57,A
367597250,2023-01-19T00:00:02,29.99604,-93.91899,0.1,72,357,E A CENAC,,WDH2406,31,Under way using its engine,21,,,52,A
367711270,2023-01-19T00:00:01,29.35091,-91.779,2.4,279.5,511,SALTY DOG,IMO8975706,WDI5706,30,,22,7,,,B
367364280,2023-01-19T00:00:06,29.24215,-89.99405,0,273.8,511,CAPT NELSON,,WDE5273,31,Under way using its engine,16,6,,31,A
367183020,2023-01-19T00:00:01,30.03066,-94.03343,0,105,350,BUCCANEER,IMO9397406,WDD7185,31,Under way using its engine,29,10,3.7,31,A
367104030,2023-01-19T00:00:02,34.23739,-119.30683,14.7,282.2,283,CAPT T LE,IMO8982553,WDC9568,60,Undefined,28,7,,0,A
366804450,2023-01-19T00:00:01,29.53577,-94.47944,1.2,195.4,209,CROSBY RAMBLER,,WDA3981,31,Under way using its engine,18,7,,31,A
368184910,2023-01-19T00:00:01,29.72084,-93.86456,0,50.2,232,SPINDLETOP,,WDM2079,50,Under way using its engine,27,7,0,50,A
367407750,2023-01-19T00:00:03,29.98125,-90.40298,0,223.3,322,GENIE,,WDF8288,31,Power-driven vessel pushing ahead/towing alongside,29,9,,57,A
338219251,2023-01-19T00:00:00,25.77195,-80.14085,0,37.4,511,MISTY K II,,,37,,,,,,B
367184660,2023-01-19T00:00:01,29.63269,-90.06385,0,274.6,511,MAGGIE LYNN,,WDD7306,31,Under way using its engine,15,6,,31,A
367305890,2023-01-19T00:00:00,29.33273,-88.88004,19.4,263.9,511,LADY LAB,IMO9370680,WDD9017,60,Under way using its engine,49,9,,67,A
338465553,2023-01-19T00:00:01,48.98802,-122.76936,0,5.8,511,LADY Z,IMO0000000,,37,,14,5,,,B
366998680,2023-01-19T00:00:01,34.14871,-119.20167,0.1,360,511,PATRIOT,IMO8332473,WDC2859,31,Moored (tied to another object to limit free movement),28,10,3.6,52,A
368212950,2023-01-19T00:00:02,29.8337,-91.54227,4.4,181,511,EMILY W,,WDM5138,9,Moored (tied to another object to limit free movement),16,6,2,9,A
367422770,2023-01-19T00:00:04,29.93203,-90.34116,6.9,284.5,511,DAMIAN WISE,,WDE9912,31,Under way using its engine,19,7,,31,A
367551680,2023-01-19T00:00:03,29.31358,-94.78617,0,268.2,178,SAVAGE INGENUITY,,WDG5920,31,Power-driven vessel pushing ahead/towing alongside,20,,,0,A
367425230,2023-01-19T00:00:05,37.78142,-122.38652,0,184.7,511,CALIFORNIA SPIRIT,,WDF2131,60,Under way using its engine,27,7,,6,A
367514360,2023-01-19T00:00:04,28.89604,-95.40366,1.5,51.2,53,SAN PEDRO,,WDG2312,31,Power-driven vessel pushing ahead/towing alongside,25,,,57,A
367781550,2023-01-19T00:00:01,29.36838,-94.89074,0,269.2,251,GARLAND GASPARD,,WDJ4830,31,Power-driven vessel pushing ahead/towing alongside,,,,31,A
368118780,2023-01-19T00:00:05,29.04106,-80.84373,6,334.3,511,MACY EMILY,,WDL3149,30,Has restricted maneuverability,21,6,0,30,A
368138880,2023-01-19T00:00:05,24.91496,-80.48703,5.3,69.9,511,GRACEFULL,IMO0000000,WDL5206,36,,16,4,,,B
367673340,2023-01-19T00:00:04,29.78837,-95.07243,0,187.2,336,J THOMAS,,WDH9961,31,Power-driven vessel pushing ahead/towing alongside,21,,,57,A
367552070,2023-01-19T00:00:03,31.01124,-87.99511,0,155.6,106,CHARLES HAUN,,WDG5959,31,Power-driven vessel pushing ahead/towing alongside,44,,,57,A
366801280,2023-01-19T00:00:06,29.74559,-95.18357,5.7,83.4,511,CARL JOSEPH,,WDA3700,31,Under way using its engine,17,7,,39,A
368257150,2023-01-19T00:00:06,29.83782,-93.95333,4.8,189,188,TITAN,,WDM9922,31,Under way using its engine,30,14,0,31,A
367656750,2023-01-19T00:00:03,32.08633,-81.09526,0,271.9,511,MARY BENNETT,,WDH8310,31,Under way using its engine,21,7,,52,A
367428690,2023-01-19T00:00:00,40.63825,-74.15159,0,244.7,175,BERING DAWN,,WDF2490,31,Under way using its engine,24,8,,32,A
316022149,2023-01-19T00:00:03,49.2976,-123.02924,0,248.8,175,NORTHERN ALLIANCE,IMO8714437,CFN6077,30,Engaged in fishing,39,9,4.1,30,A
368000880,2023-01-19T00:00:06,41.63728,-70.9072,0,256.5,511,BLUE CANYON,IMO8855528,WDJ6854,30,Undefined,24,7,,30,A
316005496,2023-01-19T00:00:04,49.40901,-123.4296,9.7,139.6,511,STORM SPRAY,,CY8295,31,Under way using its engine,19,6,3,52,A
367663890,2023-01-19T00:00:06,29.95295,-93.86521,0,313.7,183,SEBASTIAN D,,WDH9021,31,Power-driven vessel pushing ahead/towing alongside,25,,,31,A
319742000,2023-01-19T00:00:06,32.71473,-117.22896,0,205.1,315,CHIMERA,,ZCGT,37,Under way using its engine,,,,37,A
368236420,2023-01-19T00:00:01,26.26632,-80.08335,0,122.6,511,ABIGAIL,IMO0000000,WDM7694,37,,13,5,,,B
367314830,2023-01-19T00:00:01,29.81688,-90.00581,0,322.1,511,MISS RAE ANNE,,WBO2481,60,Under way using its engine,19,5,,0,A
366685950,2023-01-19T00:00:01,32.71534,-117.17384,0,21.8,113,SPIRIT OF SAN DIEGO,,WCS9446,60,Under way using its engine,34,9,,6,A
367108750,2023-01-19T00:00:06,30.03845,-90.67867,0,360,511,IAN K,,WCW6783,60,Under way using its engine,15,5,,50,A
338457493,2023-01-19T00:00:03,32.71853,-117.22591,0.1,360,511,PLEASANTVILLE,IMO0000000,,37,,17,5,,,B
367369920,2023-01-19T00:00:04,29.75671,-92.20253,0.1,311.5,511,HARRY B SETTOON,,WDE5658,31,Undefined,15,6,,12,A
366778450,2023-01-19T00:00:09,37.79688,-122.39342,0,297,236,GOLDEN GATE,IMO9183207,WDF7183,60,Under way using its engine,42,11,1.5,40,A
367054840,2023-01-19T00:00:05,30.51399,-91.22446,0,230.3,511,CLYDE K BENJAMIN,,WDC6334,31,Undefined,20,7,,0,A
367743760,2023-01-19T00:00:06,30.42226,-91.20336,0,188.7,18,SANDY B,,WDJ2318,31,Under way using its engine,18,7,,52,A
431205000,2023-01-19T00:00:00,38.41038,-124.13797,13.4,155,158,EMINENT ACE,IMO9293571,7-Jul,70,Under way using its engine,199,32,9.8,79,A
367419080,2023-01-19T00:00:04,40.58933,-74.2065,4,198.4,188,ELK RIVER,IMO9564047,WDE9599,31,Under way using its engine,28,9,3.4,31,A
367113160,2023-01-19T00:00:02,29.3679,-94.8066,3.9,175.2,174,RONNIE ROGERS,,WDD2270,31,Under way using its engine,26,9,,31,A
367505660,2023-01-19T00:00:05,38.91767,-90.2339,0,342,122,CITY OF CASSVILLE,,WDF9487,31,Power-driven vessel pushing ahead/towing alongside,39,12,,57,A
368019930,2023-01-19T00:00:02,34.14783,-119.20299,0,50.5,270,TERESA BRUSCO,,WDJ8801,52,Under way using its engine,24,10,3.2,52,A
368256040,2023-01-19T00:00:05,29.93351,-90.35192,6.1,271.4,511,JACK ESTES,IMO1323487,WDM9802,52,Under way using its engine,21,10,0,52,A
368070310,2023-01-19T00:00:03,27.8133,-97.41639,0,279,213,POINT ISABEL,IMO101200270,WDK6000,57,Moored (tied to another object to limit free movement),206,17,2.8,52,A
366993810,2023-01-19T00:00:02,47.41518,-122.5305,7.2,193,511,WASP,,WY3770,31,Power-driven vessel pushing ahead/towing alongside,18,5,,31,A
316018634,2023-01-19T00:00:03,49.24685,-123.25983,2.6,293.6,0,DOROTHY MACKENZIE,,,31,Under way using its engine,10,4,1.2,31,A
